mapping,owner,gpu_va,bytes,backing_source,lifetime,alignment,permissions,creation,destruction,current_path,target_path
render_shared[20],Windows,0xffffffa000400000,0x4000,render_shared[20] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[21],Windows,0xffffffa000408000,0x4000,render_shared[21] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[22],Windows,0xffffffa000410000,0x4000,render_shared[22] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[23],Windows,0xffffffa000418000,0x4000,render_shared[23] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[24],Windows,0xffffffa000420000,0x4000,render_shared[24] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[25],Windows,0xffffffa000428000,0x4000,render_shared[25] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[26],Windows,0xffffffa000430000,0x4000,render_shared[26] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[27],Windows,0xffffffa000438000,0x4000,render_shared[27] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[28],Windows,0xffffffa000440000,0x4000,render_shared[28] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[29],Windows,0xffffffa000448000,0x4000,render_shared[29] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[30],Windows,0xffffffa000450000,0x4000,render_shared[30] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[31],Windows,0xffffffa000458000,0x4000,render_shared[31] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[32],Windows,0xffffffa000460000,0x4000,render_shared[32] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[33],Windows,0xffffffa000468000,0x4000,render_shared[33] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[34],Windows,0xffffffa000470000,0x4000,render_shared[34] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[35],Windows,0xffffffa000478000,0x4000,render_shared[35] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
buffer_manager_alias[10],Windows,0x420000000,0x4000,buffer_manager_alias[10] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
